 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  8.750000000000000E+04   4.469366144036333E+28   1.587855094054228E+13   1.591523438217148E+31
  8.800000000000000E+04   4.546184894677331E+28   1.587716877026580E+13   1.591367742589734E+31
  8.850000000000000E+04   4.623874782095395E+28   1.587577891943597E+13   1.591211181780517E+31
  8.900000000000000E+04   4.702440602315654E+28   1.587438138900239E+13   1.591053755896465E+31
  8.950000000000000E+04   4.781887148782565E+28   1.587297618223073E+13   1.590895465305441E+31
  9.000000000000000E+04   4.862219212346073E+28   1.587156330382266E+13   1.590736310537069E+31
  9.050000000000000E+04   4.943441581259893E+28   1.587014275661930E+13   1.590576291911390E+31
  9.100000000000000E+04   5.025559041151298E+28   1.586871454347671E+13   1.590415409750125E+31
  9.150000000000000E+04   5.108576375014556E+28   1.586727866773771E+13   1.590253664429831E+31
  9.200000000000000E+04   5.192498363194792E+28   1.586583513228284E+13   1.590091056274986E+31
  9.250000000000000E+04   5.277329783381998E+28   1.586438394144886E+13   1.589927585774109E+31
  9.300000000000000E+04   5.363075410584648E+28   1.586292509669407E+13   1.589763253091473E+31
  9.350000000000000E+04   5.449740017131748E+28   1.586145860434422E+13   1.589598058939643E+31
  9.400000000000000E+04   5.537328372648821E+28   1.585998446588186E+13   1.589432003485625E+31
  9.450000000000000E+04   5.625845244047067E+28   1.585850268524083E+13   1.589265087172548E+31
  9.500000000000000E+04   5.715295395509816E+28   1.585701326538736E+13   1.589097310334547E+31
  9.550000000000000E+04   5.805683588476280E+28   1.585551621029742E+13   1.588928673419496E+31
  9.600000000000000E+04   5.897014581636509E+28   1.585401152447175E+13   1.588759176934385E+31
  9.650000000000000E+04   5.989293130906492E+28   1.585249920841270E+13   1.588588820935801E+31
  9.700000000000000E+04   6.082523989417545E+28   1.585097926816575E+13   1.588417606104744E+31
  9.750000000000000E+04   6.176711907520637E+28   1.584945170830070E+13   1.588245532955982E+31
  9.800000000000000E+04   6.271861632749400E+28   1.584791652933066E+13   1.588072601547313E+31
  9.850000000000000E+04   6.367977909806235E+28   1.584637373637010E+13   1.587898812454861E+31
  9.900000000000000E+04   6.465065480570541E+28   1.584482333301730E+13   1.587724166083958E+31
  9.950000000000000E+04   6.563129084073213E+28   1.584326532340795E+13   1.587548662900470E+31
  1.000000000000000E+05   6.662173456479992E+28   1.584169971066169E+13   1.587372303255813E+31
  1.005000000000000E+05   6.762203331078031E+28   1.584012649685676E+13   1.587195087384092E+31
  1.010000000000000E+05   6.863223438262442E+28   1.583854568722833E+13   1.587017015875026E+31
  1.015000000000000E+05   6.965238505532956E+28   1.583695728599277E+13   1.586838089203570E+31
  1.020000000000000E+05   7.068253257481043E+28   1.583536129738841E+13   1.586658307847157E+31
  1.025000000000000E+05   7.172272415766485E+28   1.583375772407656E+13   1.586477672105569E+31
  1.030000000000000E+05   7.277300699104015E+28   1.583214656979390E+13   1.586296182399729E+31
  1.035000000000000E+05   7.383342823257065E+28   1.583052783937263E+13   1.586113839273965E+31
  1.040000000000000E+05   7.490403501021128E+28   1.582890153496652E+13   1.585930642970888E+31
  1.045000000000000E+05   7.598487442199429E+28   1.582726766036052E+13   1.585746593916856E+31
  1.050000000000000E+05   7.707599353611771E+28   1.582562622099304E+13   1.585561692724485E+31
  1.055000000000000E+05   7.817743939066664E+28   1.582397721904825E+13   1.585375939639812E+31
  1.060000000000000E+05   7.928925899351861E+28   1.582232065835637E+13   1.585189335094294E+31
  1.065000000000000E+05   8.041149932221345E+28   1.582065654443154E+13   1.585001879709077E+31
  1.070000000000000E+05   8.154420732382055E+28   1.581898487892737E+13   1.584813573670431E+31
  1.075000000000000E+05   8.268742991468804E+28   1.581730566516381E+13   1.584624417352337E+31
  1.080000000000000E+05   8.384121398063391E+28   1.581561891152375E+13   1.584434411699090E+31
  1.085000000000000E+05   8.500560637657483E+28   1.581392461743784E+13   1.584243556646557E+31
  1.090000000000000E+05   8.618065392635435E+28   1.581222279023377E+13   1.584051853020169E+31
  1.095000000000000E+05   8.736640342277688E+28   1.581051343160331E+13   1.583859301010498E+31
  1.100000000000000E+05   8.856290162739676E+28   1.580879654665436E+13   1.583665901192926E+31
  1.105000000000000E+05   8.977019527034450E+28   1.580707213880672E+13   1.583471653952681E+31
  1.110000000000000E+05   9.098833105023937E+28   1.580534021206507E+13   1.583276559740872E+31
  1.115000000000000E+05   9.221735563406003E+28   1.580360077045062E+13   1.583080619010473E+31
  1.120000000000000E+05   9.345731565701525E+28   1.580185381800118E+13   1.582883832216323E+31
  1.125000000000000E+05   9.470825772241498E+28   1.580009935877104E+13   1.582686199815124E+31
  1.130000000000000E+05   9.597022840154139E+28   1.579833739683105E+13   1.582487722265437E+31
  1.135000000000000E+05   9.724327423342536E+28   1.579656793450133E+13   1.582288399828615E+31
  1.140000000000000E+05   9.852744172495390E+28   1.579479097942023E+13   1.582088233365087E+31
  1.145000000000000E+05   9.982277735060221E+28   1.579300653394061E+13   1.581887223139891E+31
  1.150000000000000E+05   1.011293275521577E+29   1.579121459981118E+13   1.581685369350012E+31
  1.155000000000000E+05   1.024471387387362E+29   1.578941518416401E+13   1.581482672798849E+31
  1.160000000000000E+05   1.037762572869051E+29   1.578760829177155E+13   1.581279134023996E+31
  1.165000000000000E+05   1.051167295400561E+29   1.578579392320528E+13   1.581074753089829E+31
  1.170000000000000E+05   1.064686018085265E+29   1.578397208629195E+13   1.580869530877998E+31
  1.175000000000000E+05   1.078319203696799E+29   1.578214278281696E+13   1.580663467589621E+31
